Timestamp,Latitude,Longitude,Altitude,Speed
2026-03-03 15:00:00.000,11.33900,77.71950,1.20,11.00
2026-03-03 15:00:00.500,11.33901,77.71960,1.22,11.01
2026-03-03 15:00:01.000,11.33902,77.71970,1.25,11.02
2026-03-03 15:00:01.500,11.33903,77.71980,1.24,11.01
2026-03-03 15:00:02.000,11.33904,77.71990,1.21,11.00
2026-03-03 15:00:02.500,11.33905,77.72000,1.19,11.00
2026-03-03 15:00:03.000,11.33906,77.72010,1.20,11.01
2026-03-03 15:00:03.500,11.33907,77.72020,1.22,11.02
2026-03-03 15:00:04.000,11.33908,77.72030,1.21,11.00
2026-03-03 15:00:04.500,11.33909,77.72040,1.18,11.00
2026-03-03 15:00:05.000,11.33910,77.72050,1.50,11.03
2026-03-03 15:00:05.500,11.33910,77.72060,1.55,11.03
2026-03-03 15:00:06.000,11.33910,77.72070,1.60,11.02
2026-03-03 15:00:06.500,11.33910,77.72080,1.20,11.01
2026-03-03 15:00:07.000,11.33910,77.72090,1.19,11.00
2026-03-03 15:00:07.500,11.33911,77.72090,1.21,11.00
2026-03-03 15:00:08.000,11.33912,77.72080,1.22,11.01
2026-03-03 15:00:08.500,11.33913,77.72070,1.24,11.01
2026-03-03 15:00:09.000,11.33914,77.72060,1.23,11.00
2026-03-03 15:00:09.500,11.33915,77.72050,1.20,11.00
2026-03-03 15:00:10.000,11.33916,77.72040,1.19,11.00
2026-03-03 15:00:10.500,11.33917,77.72030,1.21,11.01
2026-03-03 15:00:11.000,11.33918,77.72020,1.22,11.01
2026-03-03 15:00:11.500,11.33919,77.72010,1.20,11.00
2026-03-03 15:00:12.000,11.33920,77.72000,1.18,11.00
2026-03-03 15:00:12.500,11.33920,77.71990,1.17,11.00
2026-03-03 15:00:13.000,11.33920,77.71980,1.20,11.00
2026-03-03 15:00:13.500,11.33920,77.71970,1.22,11.01
2026-03-03 15:00:14.000,11.33921,77.71970,1.21,11.00
2026-03-03 15:00:14.500,11.33922,77.71970,1.20,11.00
2026-03-03 15:00:15.000,11.33923,77.71980,1.19,11.00
2026-03-03 15:00:15.500,11.33924,77.71990,1.18,11.00
2026-03-03 15:00:16.000,11.33925,77.72000,1.20,11.01
2026-03-03 15:00:16.500,11.33926,77.72010,1.55,11.03
2026-03-03 15:00:17.000,11.33927,77.72020,1.60,11.03
2026-03-03 15:00:17.500,11.33928,77.72030,1.58,11.02
2026-03-03 15:00:18.000,11.33929,77.72040,1.21,11.01
2026-03-03 15:00:18.500,11.33930,77.72050,1.20,11.00
